ProductCode,DFN
JJGCQ8RH7G,Apple MacBook Air 13
JJGQJRKGQ4,HP OmniBook X
JJGSHCGSCW,Lenovo  Yoga Slim 7i
6578292,
6586862,
6587013,
6533549,
5495366,
6533756,
6534434,
6534438,
6565866,
6565846,
6551409,
6534614,
6628459,
6625647,
6615777,
6622860,
6582825,
6566194,
6566193,
6585405,
6618946,
6618940,
6618944,
6618936,
6593200,
6615774,
6614873,
6615769,
6616071,
6612930,
6575348,
6621481,
6630640,
6632087,
6618925,
6628371,
6582827,
6622702,
6622618,
6622616,
6615250,
6578266,
6457144,
6602769,
6534642,
6565836,
6615766,
6613860,
6615767,
6613867,
6615770,
6619196,
6620392,
6615776,
6615728,
6615841,
6598566,
6615730,
6613954,
6614108,
6613862,
6618657,
6614110,
6613953,
6623673,
6622099,
6610570,
6610895,
6610891,
6612255,
6610894,
6614109,
6610571,
6612251,
6610890,
6612978,
6619312,
6609089,
6618924,
6582854,
6602751,
6534648,
6615731,
6602743,
6572156,
6565860,
6602745,
6602744,
6617097,
6609087,
6615729,
6613956,
6613957,
6609085,
6551410,
